winery,region_1,province,country
Midalidare,,Thracian Valley,Bulgaria
Schiopetto,Collio,Northeastern Italy,Italy
Sleight of Hand,Ancient Lakes,Washington,US
Château des Demoiselles,Castillon Côtes de Bordeaux,Bordeaux,France
Château Fayau,Cadillac Côtes de Bordeaux,Bordeaux,France
Château Haut Mouleyre,Bordeaux Supérieur,Bordeaux,France
Château Haut Seguin,Blaye Côtes de Bordeaux,Bordeaux,France
Château la Rose du Pin,Bordeaux Supérieur,Bordeaux,France
Château Labadie,Médoc,Bordeaux,France
Château Lamothe,Bordeaux,Bordeaux,France
Château le Gardera,Bordeaux Supérieur,Bordeaux,France
Château Roland-La-Garde,Blaye Côtes de Bordeaux,Bordeaux,France
Director's Cut,Russian River Valley,California,US
Dom Caudron,Champagne,Champagne,France
Famille d'Amecourt,Bordeaux Supérieur,Bordeaux,France
Tenuta Sant'Anna,Valdobbiadene Superiore di Cartizze,Veneto,Italy
Milenrama,Rioja,Northern Spain,Spain
Nightstar,,Rheinhessen,Germany
Rubino Estates Winery,Livermore Valley,California,US
Marqués de la Concordia,Cava,Catalonia,Spain
Vino Noceto,Amador County,California,US
St. Michael Weinkellerei,,Rheinhessen,Germany
Antonio Lopes Ribeiro,,Dão,Portugal
Bodega Furlotti,Luján de Cuyo,Mendoza Province,Argentina
Cairdeas,Washington,Washington,US
Jean-Luc and Paul Aegerter,Puligny-Montrachet,Burgundy,France
Lobo,Napa Valley,California,US
Slow Press,California,California,US
Tait Wines,Barossa Valley,South Australia,Australia
Luigi Giordano,Barbaresco,Piedmont,Italy
MaidenStoen,Monterey County,California,US
Moscone,Barolo,Piedmont,Italy
Laelaps,Dundee Hills,Oregon,US
Les Héritiers du Comte Lafon,Mâcon-Uchizy,Burgundy,France
Vigne Surrau,Cannonau di Sardegna,Sicily & Sardinia,Italy
Château des Bardes,Saint-Émilion,Bordeaux,France
Château la Roche Bazin,Blaye Côtes de Bordeaux,Bordeaux,France
Château Marsau,Francs Côtes de Bordeaux,Bordeaux,France
Corte Moschina,Veneto,Veneto,Italy
Le Pianelle,Bramaterra,Piedmont,Italy
Domaine Charles Baur,Crémant d'Alsace,Alsace,France
Friedrich-Wilhelm-Gymnasium,,Mosel,Germany
Gilberto Boniperti,Fara,Piedmont,Italy
Domaine de la Villaudière,Sancerre,Loire Valley,France
Domaine Vincent Delaporte,Sancerre,Loire Valley,France
Saintsbury,Anderson Valley,California,US
Groom,Barossa Valley,South Australia,Australia
Château La Mission Haut-Brion,Bordeaux,Bordeaux,France
Château Hosanna,Pomerol,Bordeaux,France
Château Pavie,Saint-Émilion,Bordeaux,France
Basico,La Mancha,Central Spain,Spain
Harlaftis,,Nemea,Greece
Ruffino,Chianti,Tuscany,Italy
Monte del Frá,Bardolino,Veneto,Italy
Agros,,Santorini,Greece
Bosco del Merlo,Lison-Pramaggiore,Veneto,Italy
Quivet Cellars,Napa Valley,California,US
La Vieille Ferme,Côtes du Luberon,Rhône Valley,France
Wine Guerrilla,Dry Creek Valley,California,US
Tyee Wine Cellars,Willamette Valley,Oregon,US
Pago del Vostal,Ribera del Duero,Northern Spain,Spain
Penascal,Vino de la Tierra de Castilla y León,Northern Spain,Spain
Meteor,Napa Valley,California,US
Benziger,Sonoma Mountain,California,US
Brigaldara,Amarone della Valpolicella,Veneto,Italy
Artesa,Napa Valley,California,US
Bertani,Amarone della Valpolicella Classico,Veneto,Italy
Brigaldara,Amarone della Valpolicella Classico,Veneto,Italy
Hughes Wellman,Napa Valley,California,US
Veglio,Dolcetto d'Alba,Piedmont,Italy
ZinPhomaniac,Lodi,California,US
Araldica,Barbera d'Asti Superiore,Piedmont,Italy
Austerity,Arroyo Seco,California,US
Cantina di Sorbara,Lambrusco Salamino di Santa Croce,Central Italy,Italy
Château de Lavernette,Beaujolais-Villages,Beaujolais,France
Château La Greffière,Mâcon-Milly Lamartine,Burgundy,France
Finn Hill,Rattlesnake Hills,Washington,US
Gen5,Clarksburg,California,US
Tamber Bey,Oakville,California,US
Sirch,Colli Orientali del Friuli,Northeastern Italy,Italy
McNab Ridge,Mendocino,California,US
Monte Largo,,Tejo,Portugal
Collavini,Collio,Northeastern Italy,Italy
Coup de Grace,Lodi,California,US
Domaine des Levrys,Sancerre,Loire Valley,France
Dorigo,Colli Orientali del Friuli,Northeastern Italy,Italy
I Capitani,Fiano di Avellino,Southern Italy,Italy
I Capitani,Greco di Tufo,Southern Italy,Italy
La Vieille Ferme,Côtes-du-Ventoux,Rhône Valley,France
Xavier Flouret,Rioja,Northern Spain,Spain
Marqués de Reala,Campo de Borja,Northern Spain,Spain
Borgo di Colloredo,Terra degli Osci,Southern Italy,Italy
Domaine de l'Arlot,Nuits-St.-Georges,Burgundy,France
Scharffenberger,Anderson Valley,California,US
Springhill Cellars,Willamette Valley,Oregon,US
Twin Oaks,Russian River Valley,California,US
La Pisara,Salento,Southern Italy,Italy
Manimurci,Campania,Southern Italy,Italy
Vincent,Pouilly-Fuissé,Burgundy,France
Le Vigne di Domenico,Paso Robles,California,US
Cameron Hughes,Mendocino County,California,US
Charles Krug,Carneros,California,US
Corte Sant' Alda,Recioto della Valpolicella,Veneto,Italy
Toffoli,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Twomey,Russian River Valley,California,US
Domiciano de Barrancas,Mendoza,Mendoza Province,Argentina
Vettori,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Le Battistelle,Soave Classico,Veneto,Italy
Nardello,Soave Classico,Veneto,Italy
OnThEdge,Napa Valley,California,US
Carlton Hill,Willamette Valley,Oregon,US
Carmen Lopez Delgado,Spain,Spain Other,Spain
Corner 103,Alexander Valley,California,US
Hilary Goldschmidt,Oakville,California,US
Wargin Wines,California,California,US
Jamieson Ranch,Lodi,California,US
Colle Spinello,Toscana,Tuscany,Italy
12C Wines,Rutherford,California,US
Plozza,Sforzato di Valtellina,Lombardy,Italy
Rainoldi,Sforzato di Valtellina,Lombardy,Italy
Stella Monsi,Dry Creek Valley,California,US
Château la Fleur,Montagne-Saint-Émilion,Bordeaux,France
Chime,North Coast,California,US
El Cortijillo,La Mancha,Central Spain,Spain
Challenger Ridge,Columbia Valley (WA),Washington,US
Château Aney,Haut-Médoc,Bordeaux,France
Château Arnaud,Saint-Estèphe,Bordeaux,France
Château Beyzac,Haut-Médoc,Bordeaux,France
Château Le Bourdieu,Médoc,Bordeaux,France
Château Roullet,Canon-Fronsac,Bordeaux,France
Château Tourteran,Haut-Médoc,Bordeaux,France
Gran Castillo Royal,La Mancha,Central Spain,Spain
Heartfelt,Russian River Valley,California,US
Le Macioche,Brunello di Montalcino,Tuscany,Italy
Margerum,Happy Canyon of Santa Barbara,California,US
Martin Ray,Atlas Peak,California,US
Merry Cellars,Walla Walla Valley (WA),Washington,US
Row Eleven,Russian River Valley,California,US
Cecchi,Vino Nobile di Montepulciano,Tuscany,Italy
Adair Bachman,Napa Valley,California,US
Black Stallion,Oak Knoll District,California,US
Canevel,Valdobbiadene Prosecco Superiore,Veneto,Italy
Von Holt,Sonoma Coast,California,US
Warre's,,Port,Portugal
Zanasi,Emilia,Central Italy,Italy
A. D. Coutelas,Champagne,Champagne,France
Montaubret,Champagne,Champagne,France
Silver Spur,Napa Valley,California,US
Tenuta Roletto,Vino Spumante,Italy Other,Italy
The Counselor,Alexander Valley,California,US
Portlandia,Oregon,Oregon,US
Zina Hyde Cunningham,Mendocino County,California,US
Page Cellars,Red Mountain,Washington,US
Tintara,McLaren Vale,South Australia,Australia
Tandem,Russian River Valley,California,US
Goretti,Sagrantino di Montefalco,Central Italy,Italy
Château d'Agassac,Haut-Médoc,Bordeaux,France
Aver Family Vineyards,Santa Clara Valley,California,US
Nickel & Nickel,St. Helena,California,US
Mas de Monistrol,Penedès,Catalonia,Spain
Costaval,Ribera del Duero,Northern Spain,Spain
Domaine de la Mordorée,Vin de Pays du Gard,Rhône Valley,France
Feiler-Artinger,,Burgenland,Austria
Twin Oaks,Santa Lucia Highlands,California,US
Olvena,Somontano,Northern Spain,Spain
Sunstone,California,California,US
Bodegas Faustino,Rioja,Northern Spain,Spain
Antonio Caggiano,Greco di Tufo,Southern Italy,Italy
Shoofly,Adelaide Hills,South Australia,Australia
Eric Kent,Bennett Valley,California,US
Hahn,Central Coast,California,US
Château Brande-Bergère,Bordeaux Supérieur,Bordeaux,France
Collelungo,Chianti Classico,Tuscany,Italy
Mayro-Murdick,Carneros,California,US
Casa del Valle,La Mancha,Central Spain,Spain
Vignobles Grandeau,Bordeaux Rosé,Bordeaux,France
Halter Ranch,Adelaida District,California,US
Andrew Murray,Santa Ynez Valley,California,US
Casa Dumetz,Santa Barbara County,California,US
Château de Lavernette,Crémant de Bourgogne,Burgundy,France
Château Suau,Bordeaux Rosé,Bordeaux,France
Château Bélingard,Bergerac Sec,Southwest France,France
Apsara,Napa Valley,California,US
Cline,Lodi,California,US
Lagarde,Mendoza,Mendoza Province,Argentina
Masked Rider,California,California,US
Old Winery,Mendoza,Mendoza Province,Argentina
Vallemon de Sardilici,Ribera del Duero,Northern Spain,Spain
Vina Robles,Santa Lucia Highlands,California,US
Montoya,Monterey County,California,US
Rieutort,Côtes de Gascogne,Southwest France,France
Viña Litoral,,Leyda Valley,Chile
La Valentina,Montepulciano d'Abruzzo Cerasuolo,Central Italy,Italy
Lagaria,Delle Venezie,Northeastern Italy,Italy
Le Drunk Rooster,Vin de Pays d'Oc,Languedoc-Roussillon,France
Talamonti,Montepulciano d'Abruzzo Cerasuolo,Central Italy,Italy
Il Poggione,Toscana,Tuscany,Italy
Bollini,Trentino,Northeastern Italy,Italy
Louis Tête,Beaujolais-Villages,Beaujolais,France
Sofia,Monterey County,California,US
Il Poggione,Rosso di Montalcino,Tuscany,Italy
Terra Valentine,Russian River Valley,California,US
Oak Ridge,Lodi,California,US
Quinta de Santiago,,Vinho Verde,Portugal
Ex,Monterey,California,US
La Fusina,Barolo,Piedmont,Italy
Pacific Heights Wines,Sonoma Coast,California,US
Puget Purveyors,Washington,Washington,US
Riché,Paso Robles,California,US
M. Chapoutier,Crozes-Hermitage,Rhône Valley,France
Château La Dournie,Saint-Chinian,Languedoc-Roussillon,France
Alma de Cattleya,Sonoma County,California,US
Suncé Vineyard & Winery,Napa Valley,California,US
Château Roquevieille,Côtes de Castillon,Bordeaux,France
J. Keverson,Sonoma County,California,US
Manzanita Creek,Russian River Valley,California,US
Bodega del Fin del Mundo,Neuquén,Other,Argentina
Silvae,Spain,Spain Other,Spain
Tommasi,Bardolino Chiaretto,Veneto,Italy
Bodegas Copaboca,Rueda,Northern Spain,Spain
Domaine Damiens,Madiran,Southwest France,France
Rebusity,California,California,US
Torre Castillo,Jumilla,Levante,Spain
Cataregia,Terra Alta,Catalonia,Spain
Cota 585,Rioja,Northern Spain,Spain
I Veroni,Toscana,Tuscany,Italy
Château Armandière,Cahors,Southwest France,France
Corte Mainente,Soave,Veneto,Italy
Domaine de Grange Neuve,Bergerac,Southwest France,France
Domaine Laurens,Marcillac,Southwest France,France
Hudson-Chatham,Hudson River Region,New York,US
Woodstock Collection,California,California,US
Carnivor,California,California,US
Alta,Napa Valley,California,US
Fattori,Recioto di Soave,Veneto,Italy
Chateau Couronneau,Bordeaux Supérieur,Bordeaux,France
Rocca di Fabbri,Montefalco Rosso,Central Italy,Italy
Tenuta Le Velette,Umbria,Central Italy,Italy
Gresser,Oregon,Oregon,US
Salena Estate,South Eastern Australia,Australia Other,Australia
Villa Atuel,Mendoza,Mendoza Province,Argentina
Zorzal,Navarra,Northern Spain,Spain
Palo Alto,Mendoza,Mendoza Province,Argentina
Evening Land,Sonoma Coast,California,US
Fulcrum,Sonoma Coast,California,US
Descendientes de J. Palacios,Bierzo,Northern Spain,Spain
Domaine Louis Moreau,Chablis,Burgundy,France
Equinox,Santa Cruz Mountains,California,US
Fattori,Amarone della Valpolicella,Veneto,Italy
Château Flotis,Fronton,Southwest France,France
Donna Laura,Chianti Classico,Tuscany,Italy
Fattoria di Petroio,Chianti Classico,Tuscany,Italy
Fonte alla Selva,Chianti Classico,Tuscany,Italy
Valdipiatta,Rosso di Montepulciano,Tuscany,Italy
Boscarelli,Rosso di Montepulciano,Tuscany,Italy
Longevity,California,California,US
Château Bellevue la Forêt,Fronton,Southwest France,France
Paul Jaboulet Aîné,Côtes du Rhône,Rhône Valley,France
J. Jacaman,Russian River Valley,California,US
Louis Latour,Viré-Clessé,Burgundy,France
Beach Head,Margaret River,Western Australia,Australia
Hauck,Russian River Valley,California,US
Cantine Elmi,Campania,Southern Italy,Italy
Villa Vignamaggio,Primitivo del Salento,Southern Italy,Italy
Hopkins Vineyard,Western Connecticut Highlands,Connecticut,US
Laura's Vineyard,Paso Robles,California,US
Macchialupa,Greco di Tufo,Southern Italy,Italy
Praxis,Central Coast,California,US
Sonoma Creek,Dry Creek Valley,California,US
Artezin,Napa Valley,California,US
Bink,Yorkville Highlands,California,US
Carlos Basso,Mendoza,Mendoza Province,Argentina
Cueto,Rioja,Northern Spain,Spain
Koutsoyiannopoulos,,Santorini,Greece
Château Coudray Montpensier,Chinon,Loire Valley,France
Dahlia,Monterey County,California,US
j.brix,Santa Barbara County,California,US
Le Roc,Fronton,Southwest France,France
Licia,Rías Baixas,Galicia,Spain
Nera,Terrazze Retiche di Sondrio,Lombardy,Italy
Hinman,Oregon,Oregon,US
Johannes Kunz,,Mosel,Germany
Chateau Quattre,Cahors,Southwest France,France
Chateau St. Jean,Sonoma Coast,California,US
Trapezio,Agrelo,Mendoza Province,Argentina
Viña Decana,Utiel-Requena,Levante,Spain
Corazón Verde,Rías Baixas,Galicia,Spain
Weingut Keller,,Rheinhessen,Germany
Le Casematte,Faro,Sicily & Sardinia,Italy
Paul de Albas,Ribera del Duero,Northern Spain,Spain
Trotter 1/16,Napa Valley,California,US
J. Moss Wines,Stags Leap District,California,US
Bruni,Morellino di Scansano,Tuscany,Italy
Jaxon Keys,Mendocino,California,US
Joseph Drouhin,Brouilly,Beaujolais,France
Luke Donald,Carneros,California,US
Henry Fessy,Fleurie,Beaujolais,France
Bruni,Toscana,Tuscany,Italy
Buck Shack,Lake County,California,US
Domaine les Capréoles,Régnié,Beaujolais,France
Porto Carras,,Sithonia,Greece
Marcel Hugg,Alsace,Alsace,France
McManis,River Junction,California,US
Pech Merle,Sonoma County,California,US
Stéphane Aviron,Beaujolais-Villages,Beaujolais,France
Terrassous,Rivesaltes,Languedoc-Roussillon,France
Idilico,Yakima Valley,Washington,US
Barrel Racer,Yolo County,California,US
Brady Cellars,Yakima Valley,Washington,US
Château du Grand Pierre,Blaye Côtes de Bordeaux,Bordeaux,France
Stellenbosch Vineyards,,Stellenbosch,South Africa
The Prisoner,Napa Valley,California,US
Il Palazzo,Toscana,Tuscany,Italy
Frey,Redwood Valley,California,US
Montemaggiore,Dry Creek Valley,California,US
Planeta,Passito di Noto,Sicily & Sardinia,Italy
Marsuret,Valdobbiadene Prosecco Superiore,Veneto,Italy
Masottina,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Mirabelle,North Coast,California,US
Piollot Père et Fils,Champagne,Champagne,France
Sorelle Bronca,,Veneto,Italy
Terre di Talamo,Morellino di Scansano,Tuscany,Italy
Villa Travignoli,Chianti Rufina,Tuscany,Italy
Fattoria di Casalbosco,Chianti,Tuscany,Italy
Fattoria Zerbina,Sangiovese di Romagna,Central Italy,Italy
Waimea,,Nelson,New Zealand
Suberli,Morellino di Scansano,Tuscany,Italy
Tenuta Villa Trasqua,Chianti Classico,Tuscany,Italy
Cameron Hughes,,Leyda Valley,Chile
Fleming Jenkins,Napa Valley,California,US
Villa Raiano,Taurasi,Southern Italy,Italy
Wyndham Estate,Langhorne Creek,South Australia,Australia
Château Lynsolence,Saint-Émilion,Bordeaux,France
Château Vieux Maillet,Pomerol,Bordeaux,France
Clos Badon,Saint-Émilion,Bordeaux,France
Di Meo,Taurasi,Southern Italy,Italy
Galardi,Roccamonfina,Southern Italy,Italy
Bailiwick,Chalone,California,US
Château Ducla,Bordeaux Blanc,Bordeaux,France
Château Haut Grand Champ,Bordeaux Blanc,Bordeaux,France
Château Turcaud,Bordeaux Blanc,Bordeaux,France
Clos la Madeleine,Saint-Émilion,Bordeaux,France
Enrico Serafino,Alta Langa,Piedmont,Italy
Fontanafredda,Piemonte,Piedmont,Italy
Guardian,Red Mountain,Washington,US
The Walls,Yakima Valley,Washington,US
una.wine,,Burgenland,Austria
Château Quinault L'Enclos,Saint-Émilion,Bordeaux,France
E16,Russian River Valley,California,US
9 Mile Road,Langhorne Creek,South Australia,Australia
Marshall Davis,Walla Walla Valley (OR),Oregon,US
Reasons,Horse Heaven Hills,Washington,US
Ridge,Russian River Valley,California,US
Serradenari,Barolo,Piedmont,Italy
Attilio Ghisolfi,Barolo,Piedmont,Italy
Camille Giroud,Chassagne-Montrachet,Burgundy,France
Chiarito,Mendocino,California,US
Eredi Lodali,Barolo,Piedmont,Italy
Eredi Lodali,Barbaresco,Piedmont,Italy
Francone,Barbaresco,Piedmont,Italy
Punga Cove,,Marlborough,New Zealand
Spann Vineyards,Russian River Valley,California,US
Stephen Vincent,California,California,US
El Fogón,Mendoza,Mendoza Province,Argentina
Pannotia Vineyards,Mendoza,Mendoza Province,Argentina
Syan,Pyrenees,Victoria,Australia
St. John,,Eger,Hungary
Sunfire,Amador County,California,US
Casal Novo,Valdeorras,Northern Spain,Spain
the Ghost of 413,Columbia Valley (WA),Washington,US
Tenute Grandi & Gabana,Friuli,Northeastern Italy,Italy
Le Caniette,Offida Passerina,Central Italy,Italy
Muscardini,Redwood Valley,California,US
Nebla,Rueda,Northern Spain,Spain
Babcock,Paso Robles,California,US
Calvet,Bordeaux,Bordeaux,France
Bonfiglio,Colli Bolognesi,Central Italy,Italy
Domodimonti,Offida Passerina,Central Italy,Italy
Château Tour de Bonnet,Bordeaux,Bordeaux,France
Huguet de Can Feixes,Penedès,Catalonia,Spain
Negro Giuseppe,Barbaresco,Piedmont,Italy
Syncline,Washington,Washington,US
Patricia Green Cellars,Chehalem Mountains,Oregon,US
Nicora,Santa Maria Valley,California,US
Challen,Santa Maria Valley,California,US
Cherry Pie,Sonoma Coast,California,US
Vignobles Brumont,Côtes de Gascogne,Southwest France,France
VJB,Sonoma Valley,California,US
O'Reilly's,Oregon,Oregon,US
Indian Rock,Sierra Foothills,California,US
Clos Saint-Joseph,Côtes de Provence,Provence,France
Domaine d'Eole,Vin de Pays des Alpilles,Provence,France
Dona Maria,,Alentejano,Portugal
Heaven's Cave,Horse Heaven Hills,Washington,US
Villa Canestrari,Valpolicella,Veneto,Italy
Sassy Bitch,,Central Valley,Chile
Vega Murillo,Toro,Northern Spain,Spain
Grey's Peak,,Waipara,New Zealand
Principe Corsini Fattoria Le Corti,Vin Santo del Chianti Classico,Tuscany,Italy
Abeja,Columbia Valley (WA),Washington,US
Louis Jadot,Chambolle-Musigny,Burgundy,France
Chanson Père et Fils,Corton Vergennes,Burgundy,France
Falesco,Lazio,Central Italy,Italy
Lis Neris,Friuli,Northeastern Italy,Italy
Solaria,Brunello di Montalcino,Tuscany,Italy
Hosmer,Finger Lakes,New York,US
La Pieve,Brunello di Montalcino,Tuscany,Italy
Loring Wine Company,Central Coast,California,US
Mathis,Sonoma Valley,California,US
Tenuta di Vaira,Bolgheri Superiore,Tuscany,Italy
Tenute Niccolai,Brunello di Montalcino,Tuscany,Italy
Goutorbe-Bouillot,Champagne,Champagne,France
Château Fleur du Roc,Saint-Émilion,Bordeaux,France
Elfenhof,,Burgenland,Austria
Gattavecchi,Vino Nobile di Montepulciano,Tuscany,Italy
Genio Español,Jumilla,Levante,Spain
Golden Ridge,Walla Walla Valley (WA),Washington,US
Agricola Tamburini,Chianti,Tuscany,Italy
Casale Daviddi,Vino Nobile di Montepulciano,Tuscany,Italy
Castel di Pugna,Chianti Colli Senesi,Tuscany,Italy
Pieve de' Pitti,Chianti Superiore,Tuscany,Italy
Revelry,Wahluke Slope,Washington,US
Fabre en Provence,Côtes de Provence La Londe,Provence,France
Nivarius,Rioja,Northern Spain,Spain
La Vidaubanaise,Côtes de Provence,Provence,France
Le Bonheur,Côtes de Provence,Provence,France
Les Vins Bréban,,Provence,France
San Silvestro,Langhe,Piedmont,Italy
Vignamato,Verdicchio dei Castelli di Jesi,Central Italy,Italy
Coppo,Gavi,Piedmont,Italy
Costa Alessandro,Roero,Piedmont,Italy
Dezzani,Roero,Piedmont,Italy
Atrea,Mendocino County,California,US
Bastide des Deux Lunes,Côtes de Provence,Provence,France
Compañia de Vinos del Atlántico,Valdeorras,Northern Spain,Spain
Darcie Kent Vineyards,Paso Robles,California,US
Vignerons de Buxy,Montagny,Burgundy,France
Wine Spots,Carneros,California,US
Scriani,Amarone della Valpolicella Classico,Veneto,Italy
Cantine Lenotti di Lenotti,Valpolicella Classico Superiore Ripasso,Veneto,Italy
Corte San Benedetto,Valpolicella Classico Superiore Ripasso,Veneto,Italy
Del Dotto,Rutherford,California,US
Fourrey et Fils,Chablis,Burgundy,France
La Conreria d'Scala Dei,Priorat,Catalonia,Spain
S. Anderson,Napa Valley,California,US
Secret House,Umpqua Valley,Oregon,US
Rex Hill,Oregon,Oregon,US
Calvet,Bourgogne,Burgundy,France
Calvet,Vin de Pays d'Oc,Languedoc-Roussillon,France
Hauer of the Dauen,Willamette Valley,Oregon,US
Schramsberg,Napa Valley,California,US
Secret House,Willamette Valley,Oregon,US
Montevina,Sierra Foothills,California,US
Flynn,,America,US
Beran,Willamette Valley,Oregon,US
La Spinetta,Barolo,Piedmont,Italy
A.T. Richardson,Grampians,Victoria,Australia
Contratto,Barolo,Piedmont,Italy
J. & F. Lurton,Toro,Northern Spain,Spain
Rockledge Vineyards,St. Helena,California,US
Finca Anzil,Toro,Northern Spain,Spain
Villa Canestrari,Amarone della Valpolicella,Veneto,Italy
Vino Vargas,Russian River Valley,California,US
Valle Las Nencias,Mendoza,Mendoza Province,Argentina
Château Sainte-Barbe,Bordeaux,Bordeaux,France
Corte dei Papi,Cesanese del Piglio,Central Italy,Italy
Lo Nuevo,Calatayud,Northern Spain,Spain
Cantina del Castello,Recioto di Soave Classico,Veneto,Italy
Martellotto,Happy Canyon of Santa Barbara,California,US
Keenan,Napa Valley,California,US
Kontos,Columbia Valley (WA),Washington,US
Les Voleurs,Sonoma Coast,California,US
Astorre Noti,Chianti Classico,Tuscany,Italy
Baker & Brain,Edna Valley,California,US
Canneto,Vino Nobile di Montepulciano,Tuscany,Italy
Castel di Pugna,Chianti Superiore,Tuscany,Italy
Castello di Monastero,Chianti Classico,Tuscany,Italy
Château la Croix de Roche,Bordeaux Blanc,Bordeaux,France
Forefathers,,Marlborough,New Zealand
Marziano Abbona,Langhe,Piedmont,Italy
6 North,Dry Creek Valley,California,US
One Hope,Arroyo Seco,California,US
Seven Heavenly Chards,Lodi,California,US
Lirica,,Peljesac,Croatia
Michael David,Lake County,California,US
Liberalia,Toro,Northern Spain,Spain
Ayoub,McMinnville,Oregon,US
Domaine Laporte,Pouilly-Fumé,Loire Valley,France
Walt,Sonoma County,California,US
Elderton,Barossa,South Australia,Australia
Waxwing,Sonoma County,California,US
Meadowcroft,Napa Valley,California,US
Madison Ridge,South Eastern Australia,Australia Other,Australia
Ballast Stone Estate Wines,Currency Creek,South Australia,Australia
Taz,Santa Barbara County,California,US
Castello del Poggio,Moscato d'Asti,Piedmont,Italy
Gia Domella,Russian River Valley,California,US
Kelly Family Vineyards,Napa Valley,California,US
Rubus,Vin de France,France Other,France
Stave & Steel,Paso Robles,California,US
Blacklist,Paso Robles,California,US
Miolo,,Vale dos Vinhedos,Brazil
Keeler,Eola-Amity Hills,Oregon,US
Montresor,Lugana,Lombardy,Italy
Santa Sofia,Lugana,Lombardy,Italy
Taken Wine Co.,Central Coast,California,US
Lujon,Walla Walla Valley (OR),Oregon,US
Ruggeri & C.,Italy,Italy Other,Italy
Ruggeri & C.,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Screenplay Wines,Carneros,California,US
Billhook,Napa Valley,California,US
Campovida,Mendocino County,California,US
Cava Maciel,,Valle de Guadalupe,Mexico
Il Follo,Valdobbiadene Superiore di Cartizze,Veneto,Italy
Henschke,Barossa,South Australia,Australia
Baker & Brain,Central Coast,California,US
Arcadian,Sta. Rita Hills,California,US
Byron,Sta. Rita Hills,California,US
Château Rieussec,Sauternes,Bordeaux,France
Hubert Meyer,Crémant d'Alsace,Alsace,France
Last Light,San Luis Obispo,California,US
Le Caniette,Offida Pecorino,Central Italy,Italy
Papaioannou,,Nemea,Greece
Muròla,Marche,Central Italy,Italy
Piantate Lunghe,Conero,Central Italy,Italy
Angeli di Varano,Conero,Central Italy,Italy
Artesa,Sonoma County,California,US
Castle Rock,Carneros,California,US
Collevite,Falerio,Central Italy,Italy
Terre de Loups,Saint-Chinian,Languedoc-Roussillon,France
Château Ribaute,Corbières,Languedoc-Roussillon,France
Collemattoni,Rosso di Montalcino,Tuscany,Italy
D'Autrefois,Pays d'Oc,Languedoc-Roussillon,France
Domaine de Boischampt,Beaujolais-Villages,Beaujolais,France
Domaine de la Motte,Pays d'Oc,Languedoc-Roussillon,France
Francis Ford Coppola,Russian River Valley,California,US
Gran Verano,,Central Valley,Chile
Vignerons de Bel Air,Beaujolais,Beaujolais,France
Pandemonium Wines,California,California,US
Château Guilhem,Pays d'Oc,Languedoc-Roussillon,France
Domaine Romy,Beaujolais,Beaujolais,France
Domaine Sainte Croix,Languedoc,Languedoc-Roussillon,France
Montgó,Vino de la Tierra de Castilla,Central Spain,Spain
Rigal,,Southwest France,France
La Granja 360,Cava,Catalonia,Spain
Château du Châtelard,Beaujolais,Beaujolais,France
Meyblum et Fils,Cahors,Southwest France,France
Château de Fargues,Sauternes,Bordeaux,France
Château les Ormes de Pez,Saint-Estèphe,Bordeaux,France
Château Petit-Village,Pomerol,Bordeaux,France
Château Sergant,Lalande de Pomerol,Bordeaux,France
Fattoria Mantellassi,Maremma,Tuscany,Italy
Flying Fish,Columbia Valley (WA),Washington,US
Gérard Bertrand,Corbières,Languedoc-Roussillon,France
Mazzei,Morellino di Scansano,Tuscany,Italy
Les Vignobles Foncalieu,Saint-Chinian,Languedoc-Roussillon,France
Most Wanted Winery,California,California,US
O•S Winery,Horse Heaven Hills,Washington,US
Château Grand Jean,Bordeaux Blanc,Bordeaux,France
Château la Croix Margautot,Haut-Médoc,Bordeaux,France
Château les Ormes,Saint-Julien,Bordeaux,France
Château Villa Bel Air,Graves,Bordeaux,France
White Cottage Ranch,Howell Mountain,California,US
Lachini,Walla Walla Valley (WA),Washington,US
Sansonina,Rosso del Veronese,Veneto,Italy
Domaine Leflaive,Mâcon-Verze,Burgundy,France
Exuberance,Sonoma Valley,California,US
White Oak,Napa Valley,California,US
Tikalo,Vino de la Tierra de Castilla,Central Spain,Spain
La Honda Winery,Santa Cruz Mountains,California,US
Leoness,Temecula,California,US
Cascina Rabaglio,Barbaresco,Piedmont,Italy
Louis M. Martini,Napa Valley,California,US
Michael Florentino Cellars,Columbia Valley (WA),Washington,US
Villa Mt. Eden,Napa Valley,California,US
Baldassari Family Wines,North Coast,California,US
Domaine du Trapadis,Côtes du Rhône Villages,Rhône Valley,France
Sketchbook,Mendocino,California,US
Tenuta Carretta,Roero,Piedmont,Italy
Marotti Campi,Verdicchio dei Castelli di Jesi Classico,Central Italy,Italy
Martin Ray,Russian River Valley,California,US
Negro Angelo e Figli,Roero,Piedmont,Italy
Quadrant,Paso Robles,California,US
Baron di Pauli,Alto Adige,Northeastern Italy,Italy
Morse,Sierra Foothills,California,US
Standish,Barossa Valley,South Australia,Australia
Cantina Bartolo Mascarello,Barolo,Piedmont,Italy
Mauro Molino,Barolo,Piedmont,Italy
